,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,host_symbols
chr10:74089195-74114899_+,240.794625151842,1.91728367161791,0.290905340313328,6.59074759353969,4.37617329984172e-11,4.48210557487173e-08,VCL
chr1:164792493-164799889_+,8.30332116495835,2.4089553134239,0.367399753289645,6.55676900121585,5.49860873882416e-11,5.22428925840949e-08,PBX1
chr17:44385550-44385921_-,56.0778282798977,1.87653135236306,0.28646531442313,6.55064071593424,5.72907433962185e-11,5.24885514408283e-08,ITGA2B
chr16:81620875-81664349_+,1065.57560228891,1.25550646113811,0.19451993820105,6.45438443354043,1.08659659115632e-10,9.61188356997694e-08,CMIP
chr17:50667553-50669528_+,1130.46069329854,1.54550977299936,0.24154788706375,6.39835765812956,1.57057058368904e-10,1.29967248978629e-07,ABCC3
chr19:19492580-19498722_+,362.642369433572,1.61205274218862,0.251938545793409,6.39859509036981,1.56813073331633e-10,1.29967248978629e-07,GATAD2A
chrX:154354150-154355072_-,51.7763593485307,1.58342167982029,0.247763516183706,6.39085892955382,1.64956513704713e-10,1.32238420189594e-07,FLNA
chr17:50658081-50684875_+,269.611320794773,1.83067873942588,0.286821839547949,6.38263370150319,1.74067932335681e-10,1.35314080854764e-07,ABCC3
chr3:123626817-123629626_-,302.241346720279,1.73751680212624,0.274457556017744,6.33073043182644,2.44003315182988e-10,1.84100501305565e-07,MYLK
chr12:132567480-132582266_+,100.190960636338,2.42282536329201,0.384883228263139,6.29496217391827,3.07474829146192e-10,2.25361479773922e-07,FBRSL1
chr9:35724191-35724724_-,570.037928965077,1.38512446554749,0.220766507210009,6.27416034729334,3.51526096651274e-10,2.5049163770542e-07,TLN1
chr14:60282683-60285741_+,1720.13283698048,1.33369253549348,0.213830581299603,6.23714590956853,4.45626306727696e-10,3.08963558013124e-07,PPM1A
chr11:64220219-64220669_+,17.6091703965696,2.54686694191838,0.410744131981913,6.20061674315174,5.62423224573195e-10,3.79680078420426e-07,FERMT3
chr7:107140846-107157324_+,5693.55856652986,1.379476727495,0.22300079453402,6.18597225349595,6.17208641035383e-10,4.05980853037966e-07,PRKAR2B
chrX:65716817-65731190_+,35.5399431607085,1.89404272166715,0.306409070574558,6.18141857914181,6.35281234440241e-10,4.07421737677387e-07,MSN
chr15:39583616-39585563_+,768.783948729807,1.70777528409307,0.276836794518537,6.16888837722299,6.87717530918419e-10,4.30293117576834e-07,THBS1
chr17:47318159-47318471_-,76.8849409407349,2.0583606419299,0.334683822396253,6.15016473515973,7.74025101192069e-10,4.7276347430667e-07,THCAT158
chr7:5527612-5527732_-,117.181194115545,1.35962965464092,0.221279062260646,6.14441167976122,8.02604328985453e-10,4.78818810499159e-07,ACTB
chr15:39589201-39590623_+,693.924084794971,1.2819535418356,0.209436039058081,6.12097873699804,9.30023156314073e-10,5.4222463702102e-07,THBS1
chr8:109504326-109518508_+,81.191500624911,3.32644624699215,0.543847496605297,6.11650557878057,9.56495399627691e-10,5.45266144147759e-07,PKHD1L1
chr1:171532342-171550240_+,1145.09486991989,1.01265868997107,0.165816979787318,6.10708680902242,1.0146605847445e-09,5.65849738705452e-07,PRRC2C
chr7:5527617-5527732_-,42.6363243333636,1.47033613659315,0.24107715791179,6.09902717175364,1.06715930670552e-09,5.82464631806739e-07,ACTB
chrX:118394054-118444494_+,115.514612408348,3.91763649253104,0.644474964201385,6.07880322765627,1.21082834128502e-09,6.4711207164551e-07,WDR44
chr7:5528003-5529400_-,586.831023644824,1.23041636180361,0.202796912893874,6.0672341814567,1.30131745799552e-09,6.81279525509368e-07,ACTB
chrX:154361978-154362332_-,39.1968948241124,2.05282768417092,0.338962817657318,6.05620315041833,1.39371971627077e-09,7.01041017284196e-07,FLNA
chr10:109886245-109891826_-,36.9157592715551,2.18430588552485,0.36064702212125,6.05663086493055,1.3900206444188e-09,7.01041017284196e-07,XPNPEP1
chr11:66624213-66625678_+,53.4667457856749,2.08425555279032,0.344688900625311,6.04677304377718,1.47775693451898e-09,7.29017281561834e-07,RBM14
chrX:154353914-154354291_-,17.8158931004668,1.85667129032826,0.307300217450473,6.04188082173257,1.52327969772291e-09,7.37296114824261e-07,FLNA
chr11:47290609-47315327_+,14.5296333815067,2.85567345164814,0.472915428450453,6.03844425419782,1.55607165781338e-09,7.39220485886791e-07,MADD
chr22:26540788-26541718_-,6.29836149560591,2.8498087801935,0.474743068136104,6.00284442568519,1.93890382178574e-09,8.85319907963846e-07,TPST2
chr12:5921039-5922804_-,6.59658451172642,2.56841744492379,0.427763887471754,6.00428769268979,1.92173690465073e-09,8.85319907963846e-07,ANO2
chr4:55980142-56024614_+,12.2567258830082,3.95656931918282,0.659373625684951,6.00049678218896,1.96714749752229e-09,8.85319907963846e-07,CEP135
chr22:36294931-36295076_-,33.1579935668381,1.76525701496695,0.294857639083553,5.98681119625575,2.13994944006092e-09,9.46484879066947e-07,MYH9
chr2:32543240-32548014_+,6.48960867336427,3.20597507486237,0.536104966897877,5.98012567093614,2.22965536662151e-09,9.69446595253249e-07,BIRC6
chrX:154366731-154366850_-,15.7671827589233,2.06912396248833,0.34703080372804,5.9623639753601,2.48614591565399e-09,1.06295168623786e-06,FLNA
chr20:59022844-59023600_+,96.5660004036827,1.40069996925125,0.235826584311207,5.9395338033766,2.85833736905229e-09,1.20204800866063e-06,TUBB1
chr3:4676613-4697272_+,142.179235480426,1.70896352236179,0.288819180148675,5.91707074814793,3.2772574961084e-09,1.35599171851079e-06,ITPR1
chr17:50135967-50139316_-,19.0648651405274,2.20574737944046,0.373551136473983,5.90480703729323,3.53059748725371e-09,1.43762567207174e-06,PPP1R9B
chr15:51862810-51869373_+,867.987967695256,1.18741119542451,0.201458298973478,5.8940793279548,3.76776144106645e-09,1.51022475386996e-06,TMOD3
chr2:85027888-85049648_+,357.767866248645,1.37044889722908,0.232973213625786,5.88243118554552,4.04283445407507e-09,1.59555126539058e-06,KCMF1
chr19:16076046-16089120_+,260.09518076777,1.47793109411879,0.252162002561446,5.86103805928751,4.59982524655739e-09,1.78786844015056e-06,TPM4
chr10:74094270-74095855_+,66.5948021107787,2.23905800487894,0.383555104675271,5.83764360736273,5.29442555854656e-09,2.02713281870739e-06,VCL
chr2:87583257-87606769_+,436.136526366407,1.36334754982538,0.233990569098237,5.82650640613213,5.6599695461476e-09,2.11928113873161e-06,CYTOR
chr9:35724571-35725321_-,52.8976937454049,1.51331089655523,0.259781586400624,5.82532009879048,5.7003234932554e-09,2.11928113873161e-06,TLN1
chr13:77296598-77296674_-,15.0360681845779,-1.8585489196013,0.320015204747344,-5.80768942234679,6.33408722224497e-09,2.32126199303215e-06,MYCBP2
chr8:18867673-18872733_-,282.315329007247,1.50626797132863,0.260792224083221,5.77573958205123,7.66157954105853e-09,2.76820422488415e-06,PSD3
chr9:122371834-122372022_+,339.012193155734,1.37256155705374,0.237810578554615,5.77165896233888,7.84948597427092e-09,2.79670644024961e-06,PTGS1
chr19:19495753-19502526_+,469.605186810427,1.53488040703382,0.267105712641386,5.74634062242818,9.11955072394239e-09,3.20471006467526e-06,GATAD2A
chr10:74097203-74105353_+,115.375094657422,1.55882546657759,0.272481247017591,5.72085412717213,1.05989868059303e-08,3.67426768287204e-06,VCL
chr2:61117466-61121276_+,13.5580277154508,-3.14254342346796,0.554313030826739,-5.6692577094588,1.43417507551271e-08,4.90545242828366e-06,KIAA1841
chr9:35719518-35720509_-,13.9458623320918,2.11145444938098,0.373193812442067,5.65779597352984,1.53329252652165e-08,4.96030344282274e-06,TLN1
chr1:247864704-247868063_+,66.9720095188293,2.0949395077268,0.369973080180069,5.66241064541013,1.49261104619712e-08,4.96030344282274e-06,TRIM58
chr3:124887203-124887599_-,64.6556657556393,1.86368213155071,0.329489028381505,5.65627978784412,1.54689227546805e-08,4.96030344282274e-06,ITGB5
chr17:47286259-47287231_+,152.039244060742,1.62488540556775,0.287145376772326,5.65875524040252,1.5247482367424e-08,4.96030344282274e-06,ITGB3
chr7:129161678-129164569_+,70.4877561813363,2.59699573955858,0.458744672504904,5.66109187792436,1.50412863749562e-08,4.96030344282274e-06,TSPAN33
chr12:1754257-1784073_+,37.7456787239988,1.41928351691053,0.251136007265847,5.65145369778897,1.59096545825316e-08,5.03864653093435e-06,ADIPOR2
chr4:53425871-53440608_+,233.115527737279,-1.57973935110673,0.280020896024526,-5.64150523598199,1.68569913049556e-08,5.27356582861008e-06,FIP1L1
chr11:73707419-73716362_-,665.759028682397,-1.23552749599035,0.220376983694379,-5.60642711084472,2.06545898960166e-08,6.38376138075319e-06,RAB6A
chr7:91992884-92014328_+,11.5833421978867,-3.36659849693755,0.602818889023543,-5.58475946629813,2.34023883920627e-08,7.14692225501888e-06,AKAP9
chr16:23988507-24035547_+,177.635957401315,-1.09695373798636,0.196574123866286,-5.5803567448813,2.40025771484638e-08,7.24397778340638e-06,PRKCB
chr17:47289680-47290274_+,24.3663149968155,1.81658005578672,0.325674303704085,5.57790416721764,2.43433694792878e-08,7.26140066572291e-06,ITGB3
chr6:7176654-7189322_+,110.448205123473,1.5095359145812,0.271035072938024,5.56952241722006,2.55438525151228e-08,7.47509790627486e-06,RREB1
chr9:134040033-134041951_-,40.1840207245929,2.42819136564303,0.436030996730641,5.56885034286461,2.56425609383771e-08,7.47509790627486e-06,BRD3
chr16:88528031-88532235_+,49.3197774218559,2.06962226198264,0.37263841724386,5.55396911915351,2.79254836532156e-08,8.04912845119033e-06,ZFPM1
chr9:35703559-35704498_-,16.0485622029995,2.07289862181772,0.373947309651731,5.54329064099506,2.96839539526403e-08,8.46091634163425e-06,TLN1
chr1:25300945-25303459_+,4.55143998380268,2.66184797399955,0.48144738846174,5.52884497411929,3.22346035994553e-08,9.08697017732777e-06,RHD
chr10:119423165-119436841_+,381.765639121419,1.53261572221633,0.277564242061581,5.52166125878814,3.35809417176825e-08,9.36360758569248e-06,GRK5
chr15:51900154-51911152_+,1326.92422946366,1.79060097925192,0.324620657301741,5.51597977200668,3.46842154050161e-08,9.46546997643488e-06,TMOD3
chr10:74094270-74094461_+,44.2196210397899,2.0233531218346,0.366697651559209,5.51776951183419,3.43329311401301e-08,9.46546997643488e-06,VCL
chr17:39927814-39927911_+,134.527840051723,1.6386738675788,0.298242760880287,5.4944296476539,3.91975144039566e-08,1.05845667053126e-05,AC090844.2
chr11:48153795-48164515_+,71.1604990515281,2.34840816561874,0.427873230757143,5.48856062218034,4.05222200020733e-08,1.0828296976179e-05,PTPRJ
chr9:35699973-35704498_-,9.07662982024664,1.97406234742352,0.361384878232411,5.46249294402954,4.69494200524935e-08,1.24164275526455e-05,TLN1
chr9:35704668-35705670_-,11.686721215235,2.03005460085736,0.372055251240281,5.45632562392275,4.860881723287e-08,1.27241019232124e-05,TLN1
chr11:3731390-3731578_-,23.8961874197933,-1.77945584264514,0.326388533977019,-5.45195574416358,4.98188558469431e-08,1.29091223135518e-05,NUP98
chr9:90845433-90888627_+,237.044435522246,1.78797067383492,0.329073014613447,5.43335549994944,5.53040712731101e-08,1.41871534036909e-05,SYK
chr3:37148893-37154724_-,32.431274204179,-1.71041241252495,0.316234035161395,-5.40869173570143,6.34867959505119e-08,1.59669291815538e-05,LRRFIP2
chr3:37148893-37154656_-,32.431274204179,-1.71041241252495,0.316234035161395,-5.40869173570143,6.34867959505119e-08,1.59669291815538e-05,LRRFIP2
chr15:39589804-39590623_+,132.136769149765,1.75382023973983,0.324402434687668,5.40631034852866,6.43362811860519e-08,1.6023481759862e-05,THBS1
chr1:51408134-51409696_-,52.9065958212995,2.83262282393628,0.524644821960808,5.39912471326721,6.69668113837608e-08,1.64064227806734e-05,EPS15
chr7:107121951-107146461_+,435.958194202256,1.90565739508492,0.352989288852501,5.39862668717183,6.71529408634744e-08,1.64064227806734e-05,PRKAR2B
chr16:16007815-16056295_+,21.5642077704261,3.52126229844278,0.653710253512058,5.38657957332749,7.18111443735042e-08,1.73789744020142e-05,ABCC1
chr2:9358755-9393647_+,540.385196091465,2.15526404150533,0.400816044085327,5.37719004343677,7.56573038501737e-08,1.78058423455826e-05,ASAP2
chr2:130373220-130373515_+,31.1422231018931,2.26042114649702,0.420114469155533,5.38048868214576,7.42839095122637e-08,1.78058423455826e-05,PTPN18
chr8:109493660-109527020_+,44.3027108750382,1.82762949054412,0.339839258574679,5.37792336944646,7.5349872402123e-08,1.78058423455826e-05,PKHD1L1
chr7:107150921-107157049_+,172.695802134272,1.4205592624607,0.26475436887623,5.3655743944486,8.06920119238886e-08,1.88181107443956e-05,PRKAR2B
chr9:35707071-35707253_-,14.758801316838,1.81011110321226,0.337464710243513,5.36385301415988,8.14652042419506e-08,1.88272692289978e-05,TLN1
chr9:122381370-122386732_+,167.85735982705,1.40211980216735,0.261638484289309,5.35899680804197,8.36853335206592e-08,1.91676773286203e-05,PTGS1
chr13:95246974-95247753_-,64.8380563181364,-2.17908137686196,0.407178882975224,-5.35165615893334,8.71528816442569e-08,1.9785246662125e-05,ABCC4
chr1:169603025-169609689_-,6.91554553472669,2.07659707583923,0.388555226726157,5.34440649103084,9.07137904104403e-08,2.04129900473599e-05,SELP
chr9:35721647-35725321_-,34.6086953273149,1.61340073424489,0.302534178945202,5.33295358517864,9.66280168846284e-08,2.15547697142728e-05,TLN1
chr10:60886111-60911552_-,11.4635459616077,2.28279156517648,0.428840018706856,5.32317756178659,1.01970121420228e-07,2.25503407309751e-05,RHOBTB1
chr7:73470344-73478569_-,11.0647835197634,3.25017915593913,0.612346301323054,5.30774685650373,1.10988636581049e-07,2.41287414763869e-05,BAZ1B
chr20:58667489-58673711_+,5.59383911372276,2.92104409559628,0.550313776288861,5.3079610604969,1.10858316806415e-07,2.41287414763869e-05,STX16-NPEPL1
chr8:17956603-18011366_+,5.47102586757478,2.96230422426499,0.559247909331997,5.29694286707906,1.17757519150358e-07,2.538515662827e-05,PCM1
chr8:109486647-109491101_+,20.7658740418157,3.48303500942535,0.657786597221978,5.29508357898323,1.1896198807371e-07,2.54310990004574e-05,PKHD1L1
chr22:36309281-36318325_-,40.7765655294226,1.78793885252119,0.338745344271899,5.27812081480912,1.30515407708935e-07,2.76703450740273e-05,MYH9
chr1:206729395-206730098_+,18.2863328729238,1.85923626887317,0.352634391054088,5.27241901538751,1.34637253297419e-07,2.83102414658909e-05,MAPKAPK2
chr10:74089195-74094461_+,825.364127405374,1.63690896273524,0.310860681426767,5.26573175874887,1.39632041835535e-07,2.91217948716015e-05,VCL
chr4:155703931-155711251_+,58.7334914405197,1.98794259980503,0.378054349010742,5.25835135875806,1.45352603143074e-07,3.00704058744296e-05,GUCY1A1
chr14:61740504-61741188_+,7.50909030199172,-2.95235660037667,0.562492339437317,-5.24870543717987,1.53171763691507e-07,3.05977647373478e-05,HIF1A
chr16:19540656-19544898_+,5.62518384910702,2.60949434187718,0.497238187394052,5.24797653927815,1.53778874847767e-07,3.05977647373478e-05,CCP110
chr2:64455343-64455677_+,66.105829600406,1.32858769239843,0.252940083222436,5.25257869560385,1.49984346657783e-07,3.05977647373478e-05,LGALSL
chr11:120428068-120429831_+,10.3371743909597,2.90338756707666,0.553096146354509,5.24933609863866,1.52648346237159e-07,3.05977647373478e-05,ARHGEF12
chr14:23378348-23378501_+,45.1275535581079,2.06753246708979,0.393975341949934,5.24787276497253,1.53865499205468e-07,3.05977647373478e-05,CMTM5
chr8:109394414-109430037_+,52.9000046504794,3.53921483702001,0.675124296317325,5.24231590586468,1.58573573928049e-07,3.12914453228942e-05,PKHD1L1
chr4:155789713-155795457_+,12.3130386084456,2.6812516800088,0.512015618929838,5.23665993942309,1.63508553893337e-07,3.20189689543953e-05,GUCY1B1
chr2:226906792-226914351_+,90.5634681212558,-1.24437712545734,0.237923864869476,-5.23014841802438,1.69374004483823e-07,3.2817375723514e-05,RHBDD1
chr11:70405264-70414652_+,785.730412084946,1.12036833836294,0.214247851802903,5.22930955402818,1.70144270503542e-07,3.2817375723514e-05,CTTN
chr1:154172907-154173201_-,655.011695955207,-1.03552472819541,0.198325490250036,-5.22133956099083,1.77633486184047e-07,3.40062076199953e-05,TPM3
chr17:17304363-17344926_+,21.7791504328472,1.80476290323878,0.346029260565234,5.2156366785015,1.8318692516614e-07,3.48095866021258e-05,NT5M
chr17:47302720-47307637_+,31.3570795279242,2.02892888984049,0.389774389408586,5.20539302984742,1.93586437140626e-07,3.65152417056506e-05,ITGB3
chr2:134344929-134422919_+,119.407173251227,1.62422239331164,0.313665148796676,5.17820484533491,2.24031164856252e-07,4.1949426803339e-05,MGAT5
chr4:51863436-51874385_+,41.9399946399541,-1.62547363411123,0.31401112332416,-5.17648424967807,2.2610613061056e-07,4.20311635402369e-05,DCUN1D4
chr4:150808319-150817257_-,118.474018413801,-1.61016662985534,0.311466526389452,-5.16962977858499,2.34558200366399e-07,4.3288643985606e-05,LRBA
chr22:36294091-36300264_-,134.341194394454,1.37222390778096,0.265697345114655,5.16461279351062,2.40937154374793e-07,4.41482915798325e-05,MYH9
chr22:36288726-36288939_-,167.602627124076,1.97683672074112,0.383764454629512,5.1511720194346,2.58863614007471e-07,4.70966545399551e-05,MYH9
chr22:44151482-44163930_+,14170.0987463176,1.28715099991267,0.250174760781779,5.14500741757646,2.67510240685763e-07,4.83270436923372e-05,PARVB
chr7:107146307-107153251_+,163.058783614093,1.00712009844,0.195918184130978,5.14051364301494,2.73988427701992e-07,4.8473276798891e-05,PRKAR2B
chr1:61111370-61112343_+,6.9091353837565,2.4586202808417,0.478222422101135,5.14116479532561,2.73040432638573e-07,4.8473276798891e-05,NFIA
chr11:63508552-63511840_+,13.3734594731494,2.31015798880638,0.449266027267981,5.14207139777431,2.71725808877363e-07,4.8473276798891e-05,LGALS12
chr2:208312235-208346147_+,18.9299100944033,3.13989978742265,0.610976963845657,5.13914594694252,2.75989981245895e-07,4.84929519787736e-05,PIKFYVE
chr6:129634041-129638629_-,467.560095853278,1.2640182876755,0.246056245971326,5.13711116206658,2.78993940491734e-07,4.86872894927514e-05,ARHGAP18
chr5:138781922-138810204_+,8.12621921779935,2.03512950337342,0.396446264558994,5.13343089671256,2.84507520312016e-07,4.93139960713794e-05,CTNNA1
chr13:35109289-35123574_+,9.17222156436686,2.45516788956697,0.478510611208921,5.1308535945821,2.88431190034318e-07,4.96585591808748e-05,NBEA
chr15:49235850-49239367_+,167.109897622287,-0.759643364873147,0.148163430612852,-5.12706382223343,2.94295774231789e-07,5.03304633091206e-05,GALK2
chr9:35720432-35722223_-,86.070535852644,1.47626320277068,0.288012414762788,5.12569294621052,2.96445399394453e-07,5.03623432494431e-05,TLN1
chr20:37397698-37401678_+,8.56868072627617,2.92700554949913,0.571682571115878,5.11998388158985,3.05561771921145e-07,5.1569579836139e-05,SRC
chr9:35699355-35725321_-,83.7523623037391,1.46115999343216,0.28581020919702,5.11234359870234,3.18186398012299e-07,5.33492527333955e-05,TLN1
chr2:190659157-190673152_+,297.989711145553,1.31072268662147,0.256479991989567,5.11042860089759,3.21428771405158e-07,5.35429368367306e-05,NAB1
chr1:84651882-84656484_-,27.3356609479751,1.54586466100129,0.302758180809072,5.1059385311083,3.29156684547153e-07,5.44764930883104e-05,SSX2IP
chr5:62377660-62381253_+,47.5937305386783,1.1692922375424,0.229185061998364,5.10195659065575,3.36159866806542e-07,5.52789042512065e-05,KIF2A
chrX:41214567-41216652_+,104.24437773482,2.26104210265038,0.443306812202259,5.10040008502909,3.38936266016134e-07,5.53804588032604e-05,USP9X
chr8:22072325-22073835_+,25.0948264527106,1.62948200457737,0.319597138426967,5.09855004521493,3.42265049647395e-07,5.557041340889e-05,DMTN
chr6:6174579-6197326_-,254.448327949199,1.29811832887289,0.254673387423354,5.09718876403438,3.44734538537705e-07,5.56193403591682e-05,F13A1
chr2:15553425-15554138_-,10.4069708363304,-1.94129491009679,0.380945382203593,-5.09599276113363,3.46918383514715e-07,5.56218580768937e-05,NBAS
chr2:148468340-148502509_+,5.7453146351432,2.79417880495352,0.550163627449966,5.07881413008829,3.7979805075164e-07,6.05152757511294e-05,MBD5
chr1:45640209-45642499_-,299.348148679325,-0.885591988451536,0.174419043750643,-5.07738128479604,3.82672454741259e-07,6.05968918609722e-05,GPBP1L1
chr14:22909482-22911403_-,572.223131037449,-1.28555191935918,0.253539639425032,-5.07041787341223,3.96943179569955e-07,6.24710637147733e-05,RBM23
chr7:99403397-99404953_-,53.6927245268488,-2.11779452054122,0.4182364939885,-5.06362919300737,4.1134939041553e-07,6.4343572636156e-05,PDAP1
chr16:28986134-28986893_+,9.45937368736212,2.11155359566467,0.418082136130309,5.05057119925961,4.40490884903257e-07,6.84843192146864e-05,LAT
chr20:3857634-3862413_+,84.8887429963171,2.17908187322444,0.432011334714097,5.04403865853785,4.5580714711373e-07,7.04386791861959e-05,MAVS
chr15:85682157-85693451_+,7.22162827905545,-2.45975295863574,0.488847465704564,-5.03173920537883,4.86050161566187e-07,7.46625436805831e-05,AKAP13
chr19:45263112-45278615_+,56.1946750072248,2.02508417592985,0.402862221799791,5.02674131836627,4.98884585220072e-07,7.61778944324435e-05,MARK4
chr11:120479959-120481576_+,13.0962025953698,2.98688531552703,0.594505434110597,5.02415141082019,5.05663334284151e-07,7.67561036354517e-05,ARHGEF12
chr17:44375832-44377790_-,19.9584325080982,1.4438280179123,0.287582190673915,5.0205752120076,5.15169740882814e-07,7.77391138992167e-05,ITGA2B
chr15:63059562-63062277_+,16.2356443266455,1.98674681777821,0.396076615783688,5.01606693908747,5.273996022256e-07,7.91191929584404e-05,TPM1
chr8:27604290-27606524_-,42.2404797002489,1.25938277985346,0.251422623152443,5.00902728665699,5.47058175452679e-07,8.1119557080275e-05,CLU
chr7:105066726-105077433_+,6.73093404963448,-3.10950200455931,0.620743037321269,-5.00932240493254,5.46220040453028e-07,8.1119557080275e-05,KMT2E
chr16:31120185-31128139_+,6.67012676193377,2.19347393378807,0.438376023741702,5.00363572593674,5.62590226163554e-07,8.29432590331818e-05,KAT8
chr8:21974669-21985691_+,424.80654949795,1.63573000688149,0.327343586389702,4.99698199351356,5.82345038024818e-07,8.53651272025752e-05,XPO7
chr9:122381370-122381747_+,16.7807750936751,2.21105381931251,0.443077610805267,4.99021788822517,6.0311223447763e-07,8.7410385034207e-05,PTGS1
chr6:147204335-147204412_-,10.0488944781016,1.97375451658095,0.39548088955364,4.99077090376889,6.01387913767256e-07,8.7410385034207e-05,STXBP5-AS1
chr4:53383772-53389873_+,2583.60869072237,-1.04150643788826,0.209039477866119,-4.9823432804176,6.28188635568492e-07,9.05332756642614e-05,FIP1L1
chr10:74043082-74097332_+,41.2547707936718,1.80015044602414,0.361656360645002,4.97751634400577,6.44053451549745e-07,9.23011351542213e-05,VCL
chr16:89323098-89323920_+,162.106955354474,1.44255466311264,0.289939375419364,4.97536652628209,6.51242955386326e-07,9.28129751918079e-05,LOC100287036
chr15:39996963-40017242_+,4.90760816968319,-2.7929061150021,0.561835926969966,-4.97103510283599,6.65963893105142e-07,9.43865842531834e-05,EIF2AK4
chr8:109477224-109497272_+,67.7298617177883,3.24358436145127,0.653792948250062,4.96117978961539,7.00663005336697e-07,9.87588355818807e-05,PKHD1L1
chr7:66771882-66783841_+,6.54429984913785,2.48819313810829,0.502243975688043,4.95415228166673,7.26462982778027e-07,0.000101282363571765,AC027644.4
chr1:12275824-12278038_+,104.336011980243,1.34250691280032,0.270973739675116,4.95438013443634,7.25612297614796e-07,0.000101282363571765,VPS13D
chr14:23300897-23301195_-,4.52590788661516,2.05120983837015,0.414232401446736,4.95183339402266,7.35175345842161e-07,0.000101942989983184,PPP1R3E
chr3:123649161-123657428_-,111.679937522457,2.01692104183779,0.407423147913424,4.95043311153831,7.40485043385391e-07,0.000102127219451427,MYLK
chr17:74788788-74819843_+,16.9826626819657,2.45410336119568,0.496729077782531,4.94052688067134,7.79117503667448e-07,0.000106694832748975,TMEM104
chr8:109404994-109466769_+,409.753376620962,4.07164737232004,0.824249073890084,4.93982644481929,7.81921356442023e-07,0.000106694832748975,PKHD1L1
